profile,step,action,correct,response_time,skill,recent_accuracy,confidence,blend_weight,reward,q_before,q_after,p_stat,p_rl,hybrid_policy,reward_components
struggling,0,EASY,True,4.41,0.5134,1.0,0.15,0.15,1.1822,0.0,0.1773,"{""EASY"": 0.4266, ""MEDIUM"": 0.4754, ""HARD"": 0.098}","{""EASY"": 0.8333, ""MEDIUM"": 0.0833, ""HARD"": 0.0833}","{""EASY"": 0.4876, ""MEDIUM"": 0.4166, ""HARD"": 0.0958}","{""r_acc"": 1.0, ""r_time"": 0.15, ""r_prog"": 0.0, ""r_mom"": 0.032151273753163435, ""total"": 1.1821512737531634}"
struggling,1,EASY,False,12.91,0.4764,0.5,0.2018,0.1552,-0.35,0.0,-0.0525,"{""EASY"": 0.5855, ""MEDIUM"": 0.3074, ""HARD"": 0.1071}","{""EASY"": 0.8383, ""MEDIUM"": 0.0808, ""HARD"": 0.0808}","{""EASY"": 0.6248, ""MEDIUM"": 0.2722, ""HARD"": 0.103}","{""r_acc"": -0.5, ""r_time"": 0.15, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.35}"
struggling,2,MEDIUM,False,4.42,0.453,0.3333,0.2728,0.1641,-0.2808,0.0,-0.0421,"{""EASY"": 0.6006, ""MEDIUM"": 0.3037, ""HARD"": 0.0957}","{""EASY"": 0.8432, ""MEDIUM"": 0.0784, ""HARD"": 0.0784}","{""EASY"": 0.6404, ""MEDIUM"": 0.2667, ""HARD"": 0.0929}","{""r_acc"": -0.5, ""r_time"": 0.2191966795900122, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.2808033204099878}"
struggling,3,MEDIUM,False,13.88,0.4314,0.25,0.3738,0.1786,-0.4519,0.0,-0.0678,"{""EASY"": 0.4469, ""MEDIUM"": 0.4692, ""HARD"": 0.0839}","{""EASY"": 0.8479, ""MEDIUM"": 0.0761, ""HARD"": 0.0761}","{""EASY"": 0.5186, ""MEDIUM"": 0.399, ""HARD"": 0.0825}","{""r_acc"": -0.5, ""r_time"": 0.04808117507542767, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.45191882492457236}"
struggling,4,MEDIUM,True,9.75,0.4605,0.4,0.3729,0.2023,1.2681,0.0,0.1902,"{""EASY"": 0.4564, ""MEDIUM"": 0.4657, ""HARD"": 0.0779}","{""EASY"": 0.8525, ""MEDIUM"": 0.0738, ""HARD"": 0.0738}","{""EASY"": 0.5366, ""MEDIUM"": 0.3864, ""HARD"": 0.077}","{""r_acc"": 1.0, ""r_time"": 0.13596538496759852, ""r_prog"": 0.1, ""r_mom"": 0.032151273753163435, ""total"": 1.2681166587207622}"
struggling,5,EASY,False,11.28,0.426,0.2,0.5443,0.2153,-0.3901,0.0,-0.0585,"{""EASY"": 0.5447, ""MEDIUM"": 0.3497, ""HARD"": 0.1056}","{""EASY"": 0.8569, ""MEDIUM"": 0.0716, ""HARD"": 0.0716}","{""EASY"": 0.6119, ""MEDIUM"": 0.2899, ""HARD"": 0.0983}","{""r_acc"": -0.5, ""r_time"": 0.1099463616228895, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.3900536383771105}"
struggling,6,MEDIUM,False,9.17,0.4064,0.2,0.594,0.2643,-0.3446,0.0,-0.0517,"{""EASY"": 0.6222, ""MEDIUM"": 0.2962, ""HARD"": 0.0816}","{""EASY"": 0.8612, ""MEDIUM"": 0.0694, ""HARD"": 0.0694}","{""EASY"": 0.6853, ""MEDIUM"": 0.2363, ""HARD"": 0.0784}","{""r_acc"": -0.5, ""r_time"": 0.15535045128774608, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.34464954871225395}"
struggling,7,EASY,False,13.87,0.3754,0.2,0.6737,0.2955,-0.4346,0.0,-0.0652,"{""EASY"": 0.4675, ""MEDIUM"": 0.4612, ""HARD"": 0.0713}","{""EASY"": 0.8653, ""MEDIUM"": 0.0673, ""HARD"": 0.0673}","{""EASY"": 0.5851, ""MEDIUM"": 0.3448, ""HARD"": 0.0701}","{""r_acc"": -0.5, ""r_time"": 0.06537211226506148, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.43462788773493854}"
struggling,8,EASY,True,12.03,0.3934,0.4,0.6321,0.3386,1.1402,0.0,0.171,"{""EASY"": 0.6452, ""MEDIUM"": 0.2859, ""HARD"": 0.0689}","{""EASY"": 0.8694, ""MEDIUM"": 0.0653, ""HARD"": 0.0653}","{""EASY"": 0.7211, ""MEDIUM"": 0.2112, ""HARD"": 0.0677}","{""r_acc"": 1.0, ""r_time"": 0.10799889735013608, ""r_prog"": 0.0, ""r_mom"": 0.032151273753163435, ""total"": 1.1401501711032995}"
struggling,9,EASY,False,13.22,0.3634,0.2,0.7804,0.3491,-0.412,0.0,-0.0618,"{""EASY"": 0.6369, ""MEDIUM"": 0.2899, ""HARD"": 0.0733}","{""EASY"": 0.8733, ""MEDIUM"": 0.0634, ""HARD"": 0.0634}","{""EASY"": 0.7194, ""MEDIUM"": 0.2108, ""HARD"": 0.0698}","{""r_acc"": -0.5, ""r_time"": 0.08803332088782458, ""r_prog"": 0.0, ""r_mom"": 0.0, ""total"": -0.41196667911217544}"
